id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
3369,f14f9cee-2177-4743-9ed8-c78b46c39da2,kia,ev3,"Kia EV358,3 kWh 204 Business",,33990.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.417071,1773206432,1,2025-12-12 23:13:42,2026-03-11 05:20:36
3372,f8ede44b-0094-447c-9a30-00b722683b35,kia,ev3,"Kia EV358,3 KWH 204 EARTH",,36290.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.418564,1773206432,1,2025-12-12 23:13:42,2026-03-11 05:20:36
3373,042a9a61-9040-41e3-bfa1-2b46b58db438,kia,ev3,"Kia EV358,3 kWh 204 Business Plus",,42690.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.421234,1773206432,1,2025-12-12 23:13:42,2026-03-11 05:20:36
3376,3ba942ba-a0cd-4832-b307-99ebbe507c13,kia,ev3,"Kia EV381,4 KWH 204 GT LINE",,52890.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.420802,1773206432,1,2025-12-12 23:13:42,2026-03-11 05:20:36
4155,f81cebf7-d286-4cc7-8166-f9c33edfd88c,kia,ev3,Kia EV381.4 kWh 204 GT LINE,,38990.0,9500,Elektro,12-2025,,,Händler,,2026-03-11T05:20:32.419915,1773206432,1,2026-01-13 04:53:03,2026-03-11 05:20:36
5870,4b0c8244-e5a7-444e-b338-82c3246157a5,kia,ev3,"Kia EV381,4 KWH 204 BUSINESS PLUS",,43990.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.419468,1773206432,1,2026-03-08 05:18:10,2026-03-11 05:20:36
5947,cf3b05f6-5454-4297-ad13-750b8c0542c5,kia,ev3,"Kia EV381,4 KWH 204 GT Line",,53590.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.417677,1773206432,1,2026-03-11 05:20:36,2026-03-11 05:20:36
5948,d7c9af97-e5e2-4f3a-9cb5-cc9c163e655d,kia,ev3,"Kia EV381,4 KWH 204 GT LINE",,53590.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.418131,1773206432,1,2026-03-11 05:20:36,2026-03-11 05:20:36
5949,2948031c-12bb-4038-9635-9dda28d6e1f1,kia,ev3,"Kia EV381,4 KWH 204 GT Line",,53590.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.419009,1773206432,1,2026-03-11 05:20:36,2026-03-11 05:20:36
5950,183f752c-3974-46cc-81f7-5caf6447a0c1,kia,ev3,"Kia EV381,4 KWH 204 GT Line",,54390.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.420366,1773206432,1,2026-03-11 05:20:36,2026-03-11 05:20:36
5951,fc462f64-15c3-41fa-aca3-9acf5eb1cc00,kia,ev3,"Kia EV358,3 KWH 204 BUSINESS",,37790.0,0,Elektro,new,,,Händler,,2026-03-11T05:20:32.421703,1773206432,1,2026-03-11 05:20:36,2026-03-11 05:20:36
