id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
2054,a4df06bb-a729-4c77-a798-59b77afddae9,volkswagen,polo,Volkswagen PoloPolo 1.2,,800.0,205889,Benzin,09-2002,,,Privat,,2026-02-09T05:43:12.404814,1770615792,1,2025-10-07 04:31:38,2026-02-09 05:43:15
2288,ed1347da-20ed-48f5-ab87-0cdb135c74ff,volkswagen,polo,Volkswagen PoloPolo 1.2 Comfortline,,3500.0,176585,Benzin,04-2009,,,Privat,,2026-02-09T05:43:12.404377,1770615792,1,2025-10-22 04:32:47,2026-02-09 05:43:15
2663,7ed88e9e-1a1d-4d7c-b3d3-f2ef4a75fa3a,volkswagen,polo,Volkswagen Polo(C),,3900.0,198000,Benzin,11-2011,,,Privat,,2026-02-09T05:43:12.400751,1770615792,1,2025-11-14 04:33:22,2026-02-09 05:43:15
2817,7215357b-64a7-4e5e-9b2c-e2431b3cc000,volkswagen,polo,Volkswagen Polo1.2 TDI 75 CR FAP BlueMotion,,6000.0,148000,Diesel,10-2011,,,Privat,,2026-02-09T05:43:12.402586,1770615792,1,2025-11-23 04:39:36,2026-02-09 05:43:15
3460,71c1cc60-0ec4-475f-b9f3-9702e4d7b5ea,volkswagen,polo,Volkswagen PoloUNITED,,16990.0,37800,Benzin,02-2021,,,Händler,,2026-02-09T05:43:12.400127,1770615792,1,2025-12-16 04:43:36,2026-02-09 05:43:15
4429,076482f0-f38e-4384-ae2e-b527a5f430d1,volkswagen,polo,Volkswagen PoloPolo 1.0 TSI Sport,,14900.0,50000,Benzin,09-2020,,,Privat,,2026-02-09T05:43:12.403927,1770615792,1,2026-01-22 04:57:03,2026-02-09 05:43:15
4912,c66e7b5d-8b36-47b8-86dc-8c1fdb2a7504,volkswagen,polo,Volkswagen PoloLife+DSG+LED+Digi+,,19490.0,53554,Benzin,12-2023,,,Händler,,2026-02-09T05:43:12.401695,1770615792,1,2026-02-03 05:21:08,2026-02-09 05:43:15
4937,32845bcf-69ea-497e-a4c0-72f1d9f47a6b,volkswagen,polo,Volkswagen Polo,,3200.0,190000,Benzin,10-2003,,,Privat,,2026-02-09T05:43:12.402157,1770615792,1,2026-02-04 05:15:36,2026-02-09 05:43:15
4996,d80c903f-be2e-4779-8c26-6677c8f5e8da,volkswagen,polo,Volkswagen PoloSOCIETE 1.6 TDI 90 FAP TRENDLINE REVERSIBLE,,6900.0,169000,Diesel,01-2014,,,Privat,,2026-02-09T05:43:12.403019,1770615792,1,2026-02-06 05:21:33,2026-02-09 05:43:15
5032,b8a9ff9c-e4da-402c-a2c5-3dea5b099068,volkswagen,polo,Volkswagen Polo1.4 TDI 90 BMT Beats Audio,,5299.0,188000,Diesel,11-2016,,,Privat,,2026-02-09T05:43:12.403473,1770615792,1,2026-02-07 05:12:05,2026-02-09 05:43:15
