id,listing_id,make,model,title,url,price,mileage,fuel_type,first_registration,power,transmission,seller_type,location,scraped_date,scraped_timestamp,is_active,created_at,updated_at
3960,d8dbfd17-adb8-4051-abe1-1ccd045994cd,tesla,model-3,Tesla Model 3Standard Reichweite Plus Hinterradantrieb,,24500.0,76584,Elektro,08-2020,,,Privat,,2026-04-17T06:13:29.124632,1776406409,1,2026-01-07 04:52:57,2026-04-17 06:13:32
4490,7b25f868-a6e2-4f46-b552-9b15ec9aef30,tesla,model-3,Tesla Model 3Model 3 Langstreckenbatt. Allradantrieb Dual Motor Performance,,23000.0,149000,Elektro,11-2021,,,Privat,,2026-04-17T06:13:29.127735,1776406409,1,2026-01-23 04:55:37,2026-04-17 06:13:32
5298,9473fd12-45d3-4989-8d3e-b2eda0439298,tesla,model-3,Tesla Model 3Langstreckenbatt. Allradantrieb Dual Motor,,23900.0,85000,Elektro,02-2019,,,Privat,,2026-04-17T06:13:29.125987,1776406409,1,2026-02-16 05:45:17,2026-04-17 06:13:32
5884,9c3dfbdb-970b-4ca5-bc36-83cd6ba0c128,tesla,model-3,Tesla Model 3Premium Model 3 RWD,,34950.0,18900,Elektro,06-2024,,,Privat,,2026-04-17T06:13:29.125535,1776406409,1,2026-03-09 05:27:28,2026-04-17 06:13:32
6165,66f5a139-e819-41da-a0bb-6507bc5f0c27,tesla,model-3,Tesla Model 3Dual Motor Performance,,48990.0,32500,Elektro,04-2025,,,Privat,,2026-04-17T06:13:29.128165,1776406409,1,2026-03-20 05:24:10,2026-04-17 06:13:32
6478,20380115-549a-4c4e-a2d9-207e980fa895,tesla,model-3,Tesla Model 3Model 3 Langstreckenbatt. Allradantrieb Dual Motor,,39500.0,36307,Elektro,03-2024,,,Händler,,2026-04-17T06:13:29.126868,1776406409,1,2026-04-01 06:05:29,2026-04-17 06:13:32
6506,535c4511-ce86-4c57-86f5-fe58c24a54f6,tesla,model-3,Tesla Model 3Model 3 Standard Reichweite Plus Hinterradantrieb,,21400.0,106270,Elektro,12-2020,,,Händler,,2026-04-17T06:13:29.124037,1776406409,1,2026-04-02 05:50:52,2026-04-17 06:13:32
6507,6b5f4711-9345-4512-b919-a681ad202c5c,tesla,model-3,Tesla Model 3Model 3 Langstreckenbatt. Allradantrieb Dual Motor,,23000.0,139025,Elektro,03-2021,,,Händler,,2026-04-17T06:13:29.125098,1776406409,1,2026-04-02 05:50:52,2026-04-17 06:13:32
6584,61a38b3a-0604-4be5-ade2-48219794d6bf,tesla,model-3,Tesla Model 3Model 3 RWD Hinterradantrieb,,32000.0,56000,Elektro,12-2023,,,Privat,,2026-04-17T06:13:29.127294,1776406409,1,2026-04-05 05:53:58,2026-04-17 06:13:32
6749,06533cd7-8b1d-4eeb-9ee5-05a67b082ac6,tesla,model-3,Tesla Model 3Model 3 Langstreckenbatt. Allradantrieb Dual Motor,,20500.0,166000,Elektro,03-2022,,,Privat,,2026-04-17T06:13:29.126417,1776406409,1,2026-04-15 06:10:41,2026-04-17 06:13:32
